Age,Exercise Level,Sleep Hours,Stress Level,Work Hours per Week,Screen Time per Day (Hours),Social Interaction Score,Happiness Score,Country_Brazil,Country_Canada,Country_Germany,Country_India,Country_Japan,Country_USA,Gender_Male,Gender_Other,Diet Type_Junk Food,Diet Type_Keto,Diet Type_Vegan,Diet Type_Vegetarian,Mental Health Condition_Bipolar,Mental Health Condition_Depression,Mental Health Condition_None,Mental Health Condition_PTSD,Predicted_Happiness
0.6086956521739131,1,0.5495185382224771,1,0.3846153846153846,0.2666666666666666,0.4111111111111111,0.3777777777777778,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.49082520232962756
0.6086956521739131,1,-0.1173189404068533,3,0.6666666666666667,0.5999999999999999,0.2777777777777777,0.0111111111111111,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.5237442922374428
0.9130434782608696,3,-1.1842589062137818,1,0.3333333333333333,0.7666666666666666,0.3,0.4666666666666666,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0.5237442922374428
0.6521739130434783,3,-2.584617611335376,2,0.8205128205128205,0.3166666666666666,0.0666666666666666,0.4555555555555554,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.49082520232962756
0.7173913043478262,2,1.1496722689888743,1,0.641025641025641,0.4666666666666666,0.5888888888888888,0.0888888888888888,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.49082520232962756
0.2173913043478261,3,-1.9844638805689787,2,0.1282051282051282,0.75,0.5111111111111111,0.2444444444444444,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0.49082520232962756
0.3043478260869565,3,-2.317882619883644,3,0.1282051282051282,0.1666666666666666,0.1444444444444444,0.3777777777777778,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.49082520232962756
0.1739130434782608,2,-0.3840539318585852,1,0.3076923076923077,0.5833333333333333,0.0555555555555555,0.3777777777777778,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0.49082520232962756
0.4347826086956522,1,-0.3173701839956523,3,0.0,0.0833333333333333,0.2666666666666666,0.4444444444444445,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.49082520232962756
0.9782608695652172,2,-0.5841051754473848,2,0.7692307692307692,0.3666666666666666,0.2444444444444444,0.3444444444444444,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0.49082520232962756
0.1304347826086956,3,0.2827835467707453,3,0.4102564102564102,0.2333333333333333,0.6888888888888889,0.0888888888888888,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0.5237442922374428
0.3260869565217391,1,-0.2506864361327195,1,0.3076923076923077,0.8166666666666667,0.3888888888888889,0.3666666666666666,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0.49082520232962756
0.0652173913043478,1,-1.3176264019396482,2,0.2564102564102564,0.1499999999999999,0.1999999999999999,0.3333333333333333,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0.49082520232962756
0.8043478260869565,1,0.4828347903595443,3,0.641025641025641,0.7166666666666666,0.4555555555555554,0.3555555555555555,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0.49082520232962756
0.8260869565217392,3,0.8829372775371424,2,0.641025641025641,0.9333333333333332,0.5555555555555556,0.4222222222222222,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.49082520232962756
0.5652173913043479,1,1.0163047732630086,2,0.9230769230769232,0.75,0.7222222222222221,0.0444444444444444,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49082520232962756
0.2826086956521739,2,-0.4507376797215186,3,0.9487179487179488,0.4999999999999999,0.6666666666666665,0.311111111111111,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.49082520232962756
