Age,Exercise Level,Sleep Hours,Stress Level,Work Hours per Week,Screen Time per Day (Hours),Social Interaction Score,Happiness Score,Country_Brazil,Country_Canada,Country_Germany,Country_India,Country_Japan,Country_USA,Gender_Male,Gender_Other,Diet Type_Junk Food,Diet Type_Keto,Diet Type_Vegan,Diet Type_Vegetarian,Mental Health Condition_Bipolar,Mental Health Condition_Depression,Mental Health Condition_None,Mental Health Condition_PTSD
0.6521739130434783,0.0,-0.11731894040685335,0.0,0.02564102564102566,0.3333333333333333,0.7555555555555555,0.6111111111111112,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0.28260869565217395,0.5,-1.0508914104879157,0.0,0.7179487179487181,0.5333333333333334,0.7999999999999998,0.6444444444444444,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
0.4130434782608696,0.0,0.4828347903595443,1.0,0.5897435897435896,0.45,0.9555555555555555,0.9666666666666666,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
0.3695652173913043,0.0,0.4828347903595443,0.0,0.5897435897435896,0.03333333333333338,0.7999999999999998,0.6222222222222222,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
0.6086956521739131,0.0,0.5495185382224771,0.0,0.3846153846153846,0.26666666666666666,0.41111111111111115,0.3777777777777778,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.10869565217391308,0.5,-2.517933863472443,0.5,0.7692307692307692,0.21666666666666662,0.8222222222222222,0.6888888888888889,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0.673913043478261,0.5,0.08273230318194567,0.0,0.20512820512820518,0.8666666666666667,0.5111111111111111,0.6555555555555557,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
0.6086956521739131,0.0,-0.11731894040685335,1.0,0.6666666666666667,0.5999999999999999,0.27777777777777773,0.011111111111111127,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
0.9130434782608696,1.0,-1.1842589062137818,0.0,0.33333333333333337,0.7666666666666666,0.3,0.4666666666666666,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
0.02173913043478265,0.5,-2.117831376294845,0.0,0.6153846153846154,0.95,0.2222222222222222,0.7444444444444445,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
0.4782608695652174,0.5,-0.11731894040685335,0.0,0.5384615384615385,0.6500000000000001,0.14444444444444443,0.49999999999999994,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
0.3913043478260869,0.0,1.0829885211259414,0.0,0.8717948717948718,0.9833333333333334,0.18888888888888888,0.7777777777777777,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
0.6521739130434783,1.0,-2.584617611335376,0.5,0.8205128205128205,0.3166666666666666,0.06666666666666668,0.45555555555555544,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
0.08695652173913049,0.0,-0.7841564190361838,1.0,0.6666666666666667,0.1833333333333333,0.8888888888888888,0.9777777777777779,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
0.3913043478260869,0.5,0.14941605104487907,1.0,1.0,0.4000000000000001,0.9333333333333333,0.28888888888888886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
